Designator,Mid X,Mid Y,Layer,Rotation
C1,78.25mm,25.0mm,Bottom,90.0
C2,76.0mm,25.0mm,Bottom,90.0
C3,73.75mm,25.0mm,Bottom,90.0
C4,71.5mm,25.0mm,Bottom,90.0
C5,69.25mm,25.0mm,Bottom,90.0
C6,69.25mm,29.5mm,Bottom,270.0
C7,71.5mm,29.5mm,Bottom,270.0
C8,73.75mm,29.5mm,Bottom,270.0
C9,76.0mm,29.5mm,Bottom,270.0
C10,78.25mm,29.5mm,Bottom,270.0
C14,78.459999mm,10.709999mm,Bottom,90.0
C15,76.209999mm,10.709999mm,Bottom,90.0
C16,73.959999mm,10.709999mm,Bottom,90.0
C17,71.709999mm,10.709999mm,Bottom,90.0
C18,69.459999mm,10.709999mm,Bottom,90.0
C19,69.5mm,15.0mm,Bottom,270.0
C20,71.75mm,15.0mm,Bottom,270.0
C21,74.0mm,15.0mm,Bottom,270.0
C22,76.25mm,15.0mm,Bottom,270.0
C23,78.5mm,15.0mm,Bottom,270.0
D2,80.5mm,52.5mm,Bottom,180.0
D3,80.5mm,55.5mm,Bottom,180.0
D4,80.5mm,45.0mm,Bottom,180.0
D5,80.5mm,48.0mm,Bottom,180.0
R10,68.0mm,52.5mm,Bottom,0.0
R11,68.0mm,56.0mm,Bottom,0.0
R12,68.0mm,45.0mm,Bottom,0.0
R13,68.0mm,48.5mm,Bottom,0.0
R15,68.0mm,37.5mm,Bottom,180.0
R16,68.0mm,40.5mm,Bottom,180.0
R29,63.0mm,56.0mm,Bottom,180.0
R30,63.0mm,54.5mm,Bottom,180.0
R31,63.0mm,53.0mm,Bottom,180.0
R32,63.0mm,51.5mm,Bottom,180.0
R33,63.0mm,50.0mm,Bottom,180.0
R34,63.0mm,48.5mm,Bottom,180.0
SAGSOKET1,91.54mm,51.74mm,Bottom,180.0
SOLSOKET1,6.0mm,51.78mm,Bottom,180.0
U6,73.5mm,39.5mm,Bottom,270.0
U7,73.5mm,54.5mm,Bottom,270.0
U8,73.5mm,47.0mm,Bottom,270.0
BLUETOOTH1,91.0mm,75.04mm,Top,0.0
C11,64.709999mm,28.5mm,Top,0.0
C12,64.709999mm,25.5mm,Top,0.0
C13,82.5mm,24.5mm,Top,180.0
C24,64.5mm,14.0mm,Top,0.0
C25,64.5mm,11.0mm,Top,0.0
C26,82.5mm,10.0mm,Top,180.0
C27,6.5mm,69.5mm,Top,0.0
C28,6.5mm,68.0mm,Top,0.0
C29,6.5mm,66.53mm,Top,0.0
C30,6.5mm,65.03mm,Top,0.0
C31,6.5mm,63.53mm,Top,0.0
C32,6.5mm,62.03mm,Top,0.0
CAN1,27.437502mm,70.581663mm,Top,0.0
D8,9.5mm,58.5mm,Top,90.0
F1,75.0mm,5.5mm,Top,180.0
F2,75.0mm,3.0mm,Top,0.0
F3,62.5mm,18.5mm,Top,0.0
F4,62.5mm,21.0mm,Top,0.0
F5,15.7875mm,50.5mm,Top,0.0
F6,15.7875mm,52.5mm,Top,0.0
F7,15.7875mm,48.5mm,Top,0.0
F8,15.7875mm,46.5mm,Top,0.0
F9,15.7875mm,44.5mm,Top,0.0
F10,15.7875mm,42.5mm,Top,0.0
L1,6.5mm,58.7125mm,Top,90.0
L2,12.5mm,58.7125mm,Top,90.0
MAP1,17.5mm,74.0mm,Top,180.0
MCU1,21.59999mm,30.99999mm,Top,0.0
R2,62.7mm,8.5mm,Top,0.0
R3,62.7mm,7.0mm,Top,180.0
R4,47.905mm,72.0mm,Top,180.0
R5,14.0mm,38.0mm,Top,0.0
R6,18.0mm,29.5mm,Top,0.0
R7,14.0mm,35.497072mm,Top,0.0
R8,14.0mm,32.994144mm,Top,0.0
R9,83.0mm,28.5mm,Top,0.0
R14,82.5mm,14.0mm,Top,0.0
R20,12.7875mm,52.5mm,Top,0.0
R21,12.7875mm,50.5mm,Top,0.0
R22,12.7875mm,48.5mm,Top,0.0
R26,12.7875mm,46.5mm,Top,0.0
R27,12.7875mm,44.5mm,Top,0.0
R28,12.7875mm,42.5mm,Top,0.0
U1,73.875mm,27.0mm,Top,0.0
U2,73.8mm,12.5mm,Top,0.0
U4,13.0mm,65.5mm,Top,270.0
U9,73.5mm,54.5mm,Top,270.0
U10,73.5mm,47.0mm,Top,270.0
U11,73.5mm,39.5mm,Top,270.0
USB1,90.5mm,59.5mm,Top,180.0
