Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C0805",-78.250000,25.000000,90.000000,bottom
"C2","10u","C0805",-76.000000,25.000000,90.000000,bottom
"C3","10u","C0805",-73.750000,25.000000,90.000000,bottom
"C4","10u","C0805",-71.500000,25.000000,90.000000,bottom
"C5","10u","C0805",-69.250000,25.000000,90.000000,bottom
"C6","10u","C0805",-69.250000,29.500000,-90.000000,bottom
"C7","10u","C0805",-71.500000,29.500000,-90.000000,bottom
"C8","10u","C0805",-73.750000,29.500000,-90.000000,bottom
"C9","10u","C0805",-76.000000,29.500000,-90.000000,bottom
"C10","10u","C0805",-78.250000,29.500000,-90.000000,bottom
"C14","10u","C0805",-78.459999,10.709999,90.000000,bottom
"C15","10u","C0805",-76.209999,10.709999,90.000000,bottom
"C16","10u","C0805",-73.959999,10.709999,90.000000,bottom
"C17","10u","C0805",-71.709999,10.709999,90.000000,bottom
"C18","10u","C0805",-69.459999,10.709999,90.000000,bottom
"C19","10u","C0805",-69.500000,15.000000,-90.000000,bottom
"C20","10u","C0805",-71.750000,15.000000,-90.000000,bottom
"C21","10u","C0805",-74.000000,15.000000,-90.000000,bottom
"C22","10u","C0805",-76.250000,15.000000,-90.000000,bottom
"C23","10u","C0805",-78.500000,15.000000,-90.000000,bottom
"D2","B5819W","SOD-123",-80.500000,52.500000,180.000000,bottom
"D3","B5819W","SOD-123",-80.500000,55.500000,180.000000,bottom
"D4","B5819W","SOD-123",-80.500000,45.000000,180.000000,bottom
"D5","B5819W","SOD-123",-80.500000,48.000000,180.000000,bottom
"R10","4.7k","R0603",-68.000000,52.500000,0.000000,bottom
"R11","4.7k","R0603",-68.000000,56.000000,0.000000,bottom
"R12","4.7k","R0603",-68.000000,45.000000,0.000000,bottom
"R13","4.7k","R0603",-68.000000,48.500000,0.000000,bottom
"R15","4.7k","R0603",-68.000000,37.500000,180.000000,bottom
"R16","4.7k","R0603",-68.000000,40.500000,180.000000,bottom
"R29","4.7k","R0603",-63.000000,56.000000,180.000000,bottom
"R30","4.7k","R0603",-63.000000,54.500000,180.000000,bottom
"R31","4.7k","R0603",-63.000000,53.000000,180.000000,bottom
"R32","4.7k","R0603",-63.000000,51.500000,180.000000,bottom
"R33","4.7k","R0603",-63.000000,50.000000,180.000000,bottom
"R34","4.7k","R0603",-63.000000,48.500000,180.000000,bottom
"SAGSOKET1","Conn_02x20_Counter_Clockwise","PinHeader_2x20_P2.54mm_Vertical",-91.540000,51.740000,180.000000,bottom
"SOLSOKET1","Conn_02x20_Counter_Clockwise","PinHeader_2x20_P2.54mm_Vertical",-6.000000,51.780000,180.000000,bottom
"U6","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-73.500000,39.500000,0.000000,bottom
"U7","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-73.500000,54.500000,0.000000,bottom
"U8","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-73.500000,47.000000,0.000000,bottom
"BLUETOOTH1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",91.000000,75.040000,0.000000,top
"C11","100n","C0603",64.709999,28.500000,0.000000,top
"C12","10n","C0603",64.709999,25.500000,0.000000,top
"C13","10n","C0603",82.500000,24.500000,180.000000,top
"C24","100n","C0603",64.500000,14.000000,0.000000,top
"C25","10n","C0603",64.500000,11.000000,0.000000,top
"C26","10n","C0603",82.500000,10.000000,180.000000,top
"C27","100n","C0603",6.500000,69.500000,0.000000,top
"C28","10n","C0603",6.500000,68.000000,0.000000,top
"C29","100n","C0603",6.500000,66.530000,0.000000,top
"C30","10n","C0603",6.500000,65.030000,0.000000,top
"C31","100n","C0603",6.500000,63.530000,0.000000,top
"C32","1u","C0603",6.500000,62.030000,0.000000,top
"CAN1","Module-can-0.1","can",27.437502,70.581663,0.000000,top
"D8","NUP2105L","SOT-23",9.500000,58.500000,-90.000000,top
"F1","12H1500D","PAD-1206-PAD",75.000000,5.000000,180.000000,top
"F2","12H1500D","PAD-1206-PAD",75.000000,3.000000,0.000000,top
"F3","12H1500D","PAD-1206-PAD",62.500000,18.500000,0.000000,top
"F4","12H1500D","PAD-1206-PAD",62.500000,21.000000,0.000000,top
"F5","50mA","Fuse_0603_1608Metric",15.787500,50.500000,0.000000,top
"F6","50mA","Fuse_0603_1608Metric",15.787500,52.500000,0.000000,top
"F7","50mA","Fuse_0603_1608Metric",15.787500,48.500000,0.000000,top
"F8","50mA","Fuse_0603_1608Metric",15.787500,46.500000,0.000000,top
"F9","50mA","Fuse_0603_1608Metric",15.787500,44.500000,0.000000,top
"F10","50mA","Fuse_0603_1608Metric",15.787500,42.500000,0.000000,top
"G1","RUSEFI_LOGO","rusefi_logo",-46.653550,145.606090,0.000000,top
"G2","LOGO","LOGO",-42.253141,154.878998,0.000000,top
"L1","470R@100MHz","L_0603_1608Metric",6.500000,58.712500,90.000000,top
"L2","470R@100MHz","L_0603_1608Metric",12.500000,58.712500,90.000000,top
"M1","Module-power_12and5V-0.2","power_12and5V",56.375001,23.200003,180.000000,top
"M2","Module-knock-0.2","knock",16.474999,40.525000,-90.000000,top
"M4","Module-vr-max9924-0.1","vr-max9924",80.150000,76.582500,180.000000,top
