"Comment","Designator","Footprint","LCSC Part #"
"Conn_01x04_Pin","BLUETOOTH1","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","C22438154"
"10u","C1","hellen-one-common:C0805","C15850"
"10u","C2","hellen-one-common:C0805","C15850"
"10u","C3","hellen-one-common:C0805","C15850"
"10u","C4","hellen-one-common:C0805","C15850"
"10u","C5","hellen-one-common:C0805","C15850"
"10u","C6","hellen-one-common:C0805","C15850"
"10u","C7","hellen-one-common:C0805","C15850"
"10u","C8","hellen-one-common:C0805","C15850"
"10u","C9","hellen-one-common:C0805","C15850"
"10u","C10","hellen-one-common:C0805","C15850"
"100n","C11","hellen-one-common:C0603","C14663"
"10n","C12","hellen-one-common:C0603","C57112"
"10n","C13","hellen-one-common:C0603","C57112"
"10u","C14","hellen-one-common:C0805","C15850"
"10u","C15","hellen-one-common:C0805","C15850"
"10u","C16","hellen-one-common:C0805","C15850"
"10u","C17","hellen-one-common:C0805","C15850"
"10u","C18","hellen-one-common:C0805","C15850"
"10u","C19","hellen-one-common:C0805","C15850"
"10u","C20","hellen-one-common:C0805","C15850"
"10u","C21","hellen-one-common:C0805","C15850"
"10u","C22","hellen-one-common:C0805","C15850"
"10u","C23","hellen-one-common:C0805","C15850"
"100n","C24","hellen-one-common:C0603","C14663"
"10n","C25","hellen-one-common:C0603","C57112"
"10n","C26","hellen-one-common:C0603","C57112"
"100n","C27","hellen-one-common:C0603","C14663"
"10n","C28","hellen-one-common:C0603","C57112"
"100n","C29","hellen-one-common:C0603","C14663"
"10n","C30","hellen-one-common:C0603","C57112"
"100n","C31","hellen-one-common:C0603","C14663"
"1u","C32","hellen-one-common:C0603","C15849"
"Module-can-0.1","CAN1","hellen-one-can-0.1:can",""
"B5819W","D2","hellen-one-common:SOD-123","C8598"
"B5819W","D3","hellen-one-common:SOD-123","C8598"
"B5819W","D4","hellen-one-common:SOD-123","C8598"
"B5819W","D5","hellen-one-common:SOD-123","C8598"
"NUP2105L","D8","Package_TO_SOT_SMD:SOT-23","C284104"
"12H1500D","F1","hellen-one-common:PAD-1206-PAD","C182446"
"12H1500D","F2","hellen-one-common:PAD-1206-PAD","C182446"
"12H1500D","F3","hellen-one-common:PAD-1206-PAD","C182446"
"12H1500D","F4","hellen-one-common:PAD-1206-PAD","C182446"
"50mA","F5","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F6","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F7","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F8","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F9","Fuse:Fuse_0603_1608Metric","C369141"
